"canonical_id","question_type","assigned_color","behavioral_domain","context","intensity","assignment_confidence","quality_classifications","english"
"4d694041-2641-4635-aa79-e5dc6c188682","likert","red","rules-process","personal-preference","moderate","HIGH","CLEAR","I focus more on results than on following a process exactly."
"4ec48535-9510-4e86-9ee7-a6ea509af280","single","","general-behavioral-preference","planning","moderate","HIGH","AMBIGUOUS","Before starting something new, I prefer to…"
"505ae241-8349-438d-b8db-d37b51518f95","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","With customers/clients, I’m best at…"
"517a3cb3-a701-4fcb-8bb3-848e2f237424","likert","green","decision-making","personal-preference","moderate","HIGH","CLEAR","I’m disciplined about finishing what I commit to."
"53a98bef-2fdf-4619-a09c-b4e02847b10c","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","What motivates me most?"
"53ece3a0-2862-42b5-a4fc-1468fd3549e8","likert","green","stability-security","personal-preference","moderate","HIGH","CLEAR","Financial security is more important to me than rapid growth."
"56d9cd80-ce6f-48c6-b6c3-c2fa3e95ac6b","likert","red","risk-change","unfamiliar-situation","moderate","HIGH","CLEAR","I see uncertainty as an opportunity rather than a threat."
"58c09422-edfe-40e3-b370-35f9bde18564","likert","yellow","competition-achievement","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I care about success, but not if it comes at the expense of others."
"59ded366-49c8-46e8-891e-3dd48a501695","likert","red","emotional-expression","personal-preference","mild","HIGH","CLEAR","I’m comfortable being rewarded more when I contribute more."
"5a6e8337-90ce-4cc9-b766-f74ecafab528","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","In competition, I…"
"5f17485f-373e-455d-af0b-70ec6485943b","likert","green","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","I’m cautious about who I let into my inner circle."
"63a771d2-a37a-4a48-b5fd-f5d316d26b0d","likert","yellow","decision-making","personal-preference","strong","HIGH","CLEAR","I feel responsible for supporting people I’ve committed to."
"66083e12-2f11-4849-976a-7e9d7edebc38","likert","blue","emotional-expression","personal-preference","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","If things feel dull or repetitive, I start looking for something more exciting to do."
"694ed9fd-222a-4f6c-942e-8148f41ff344","likert","green","independence-follow-through","personal-preference","moderate","HIGH","CLEAR","I’m good at sticking with tasks until they’re fully completed."
"695d628c-53d3-46c2-b360-d355ee0511ad","likert","blue","competition-achievement","work-business","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","Money feels like a tool to create experiences, not an end goal."
"6a004186-77cd-415b-bf4f-8cd631a9c1d6","likert","green","planning-organization","planning","moderate","HIGH","CLEAR","I feel calmer when I have a clear plan for what’s coming next."
"6aef9c71-489c-47a3-98bf-89c37cdd5009","likert","yellow","pace-action","unfamiliar-situation","moderate","HIGH","CLEAR","I hesitate to make changes if they could negatively affect others."
"6cbf5dfd-cb2e-4f14-ac91-982c113f59ee","likert","green","competition-achievement","personal-preference","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I prefer knowing expectations ahead of time rather than figuring things out as I go."
"6e4c968a-2895-4b4b-ba5e-32d47bc6abca","likert","red","social-interaction","personal-preference","moderate","HIGH","CLEAR","I respect people who say what they mean, even if it comes across blunt."
"6eb555cb-c60c-4820-9a3d-6b1017514265","likert","yellow","conflict","conflict","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I tend to slow down decisions if I sense tension or discomfort between people."
"6f36bb70-0eee-4678-af55-78f9cae07eec","likert","green","social-interaction","personal-preference","moderate","HIGH","CLEAR","I pay close attention to whether people follow through on what they say."
"74135a00-827b-4c5f-9a7c-b72d076607ee","likert","yellow","planning-organization","planning","moderate","HIGH","CLEAR","I try to stay organized so others can rely on me."
"76a13ab4-c5cc-43df-8d92-100689764905","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","When I’m focused, I…"
"77234471-04bc-431d-8e8d-43bad7c191ae","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","When I need a boundary, I…"
"78167084-c8aa-4e21-bc88-cf35b4ac0021","single","","social-interaction","personal-preference","moderate","HIGH","CLEAR","People usually rely on me for…"
"79686573-8d40-4d83-af77-41d35547619d","likert","yellow","social-interaction","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I’m motivated when I feel connected to the people involved, not just the task."
"79803d54-28bb-4990-b557-22fd67927109","likert","blue","stability-security","personal-preference","moderate","HIGH","CLEAR","I’m energized by new experiences, even if they’re unpredictable."
"799f2aac-8544-4bd3-850b-dd76fc1e2cfc","likert","red","competition-achievement","personal-preference","moderate","HIGH","CLEAR","I stay focused when I know results depend on me."
"7cf21580-ec06-4c65-b602-4c9317eeac3d","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","When delegating, I…"
"7d22afa7-f5b6-450c-93d4-a8b2f3318410","single","","cooperation-support","personal-preference","moderate","HIGH","CLEAR","My relationship with routines is…"
"7d345f7b-6c63-429d-981c-857b2af2fb58","likert","blue","planning-organization","planning","moderate","HIGH","CLEAR","Spontaneous plans sound more appealing to me than carefully planned ones."
"7f3ec23c-2461-4d22-9273-07353c301efb","likert","blue","general-behavioral-preference","work-business","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I work best when I can switch things up instead of doing the same task for long periods."
"806a2363-7e28-42b9-99dd-7faabf6710b7","likert","blue","social-interaction","personal-preference","moderate","HIGH","CLEAR","I connect most with people who are open, expressive, and genuine."
"829ad3cb-57ca-4836-99f2-a50c36b8f4e0","likert","blue","planning-organization","planning","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I tend to resist schedules that feel overly rigid or restrictive."
"83774c86-111b-4f91-8f1b-60565c95f6d4","likert","green","emotional-expression","personal-preference","moderate","HIGH","CLEAR","I feel most at ease when I know what the future is likely to look like."
"84e30ad7-b146-489b-9041-8645ef2b02c1","likert","green","general-behavioral-preference","personal-preference","moderate","HIGH","SEMANTICALLY_OVERLAPPING","I get uneasy when expectations aren’t clearly defined."
"86f93908-6a45-42f7-bd7b-d2d7d3d13de6","single","","communication","communication","moderate","HIGH","CLEAR","My natural communication style is…"
"878213b1-fed4-4fb2-b056-be5439af77e3","likert","red","pace-action","work-business","moderate","HIGH","CLEAR","I push through distractions when there’s a clear goal at stake."
"89253e02-693d-46ea-85a4-c1af38ac9a73","likert","blue","planning-organization","personal-preference","moderate","HIGH","CLEAR","I struggle to stay motivated when everything feels too structured."
"89df63e5-ffa9-4e7a-a228-f1651750ac20","likert","red","pace-action","personal-preference","strong","LOW","AMBIGUOUS|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I feel responsible for keeping things moving when others hesitate."
"8ab6d9b5-9a3b-48e2-9eb8-f5e37edf3a9c","likert","red","emotional-expression","personal-preference","moderate","HIGH","CLEAR","I prefer events or activities that feel productive rather than just passing time."
"8c889b4b-94cf-41b5-89d0-507cbc300e8b","likert","green","social-interaction","personal-preference","mild","HIGH","CLEAR","I feel more comfortable trusting people once they’ve proven they’re reliable."
"8e010957-ec1f-4880-9efe-8fc1a505e68a","likert","blue","communication","communication","moderate","MODERATE","CONTEXT_DEPENDENT|COLOR_ASSIGNMENT_QUESTIONABLE","I feel most alive when I’m laughing, talking, or sharing experiences with others."
"8ed50147-99ab-4673-9004-567c307646c9","likert","red","social-interaction","personal-preference","moderate","HIGH","CLEAR","I’m motivated by achieving visible results and tangible rewards."
"8fa4cb1b-6113-4e67-af9a-5bde9b37ef51","likert","yellow","cooperation-support","personal-preference","moderate","HIGH","CLEAR","I often put effort into keeping relationships balanced and supportive."
"9077ae62-0208-4f48-8b11-56808573fa7d","likert","blue","general-behavioral-preference","personal-preference","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I get bored doing the same things the same way for too long."
"90dc1f5e-f00c-4c49-bf94-5f4c8de94975","likert","blue","pace-action","personal-preference","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I lose interest quickly if something stops feeling engaging."
"917bb239-754d-4fc1-abe5-731dd1389226","likert","blue","rules-process","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I’m more productive when I enjoy the process, not just the outcome."
"9431c0ae-dc91-4d89-b055-040b44034cc3","likert","blue","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","I enjoy stepping outside my comfort zone just to see what happens."
"94495f50-2c0b-4df5-89be-1233fd84ee62","likert","blue","emotional-expression","pressure","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","Trying something new feels exciting rather than stressful to me."
"94fc0c96-7820-416c-a6e4-abe8f767ad07","likert","green","planning-organization","social","moderate","HIGH","CLEAR","I’m more relaxed socially when there’s a schedule or structure to the event."
"96176295-ca26-41d0-bd7b-9523ece63555","likert","green","stability-security","personal-preference","mild","HIGH","CLEAR","I feel most comfortable when outcomes are predictable."
"97a8c511-a2e2-4fd3-8d0d-46b65f7d3c6b","likert","green","cooperation-support","personal-preference","moderate","HIGH","CLEAR","Trust builds slowly for me, but once it’s there, it’s solid."
"9d253ad8-d0ca-4269-a68f-2d079807ee4f","likert","red","planning-organization","planning","moderate","LOW","AMBIGUOUS|POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I don’t mind taking charge of plans if it keeps things moving."
"9dfbefb2-64e4-48aa-b3d2-219463a49544","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","If I want to improve, I…"
"a064ecbd-c94d-4a31-a221-e986984c6cd6","likert","yellow","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","I think organization is important because it affects more than just me."
"a0bea5a2-24a4-4f40-8bea-d1090df652d5","likert","yellow","social-interaction","personal-preference","moderate","HIGH","CLEAR","I feel best about earning money when it helps support people I care about."
"a1fbe330-1e47-4251-9a07-ce5c2029f916","likert","blue","planning-organization","planning","moderate","HIGH","CLEAR","I’m usually the one suggesting plans or activities when people are hanging out."
"a3057e3d-142d-41af-b1fa-57d6bf0b0aa8","single","","social-interaction","team","strong","HIGH","CONTEXT_DEPENDENT","In a group project, I’m most likely to…"
"a3e20241-f9fd-4095-a984-c1b7fe724697","likert","yellow","social-interaction","personal-preference","mild","HIGH","CLEAR","I’m uncomfortable when money becomes the main focus over people."
"a4a2deed-c11e-43bd-abff-1a6055c64d83","likert","red","decision-making","personal-preference","mild","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I’m comfortable making decisions even when I don’t have all the information."
"a9e9ac76-174c-4b12-b3ea-32edcf609761","likert","blue","social-interaction","personal-preference","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I’m usually up for trying something new if it sounds fun."
"ab13308d-501e-4e58-9039-a1f21f6b900c","single","","social-interaction","social","moderate","HIGH","CLEAR","At a party or club, you’ll find me…"
"adac68bb-5fd6-4cae-90c6-576985ca3df1","likert","red","social-interaction","social","moderate","LOW","AMBIGUOUS|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I enjoy social situations when there’s a clear purpose or activity involved."
"afc159a2-fc5e-4f09-aa25-2912ae7d0e1c","likert","yellow","social-interaction","team","mild","HIGH","CLEAR","I pay attention to who might feel left out during group activities."
"b4fdbbe6-d483-41a2-8033-25ede709c182","likert","red","planning-organization","planning","moderate","LOW","AMBIGUOUS|POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I trust myself to adapt if things don’t go as planned."
"b6eaa376-b183-47b4-b1a1-8093f4a9bebf","likert","green","planning-organization","planning","moderate","HIGH","CLEAR","I feel more confident when I know there’s a plan backing my actions."
"b770ab96-fa4a-4177-be7e-4021c654effb","single","","communication","team","moderate","HIGH","CONTEXT_DEPENDENT","In meetings, I’m usually the one who…"
"b9cc48a1-8a44-44d5-820d-71f8955e5281","likert","blue","social-interaction","personal-preference","moderate","HIGH","CLEAR","I feel closest to people I can be myself around without overthinking."
"bb828a98-5342-4c50-8107-c03365e479d8","likert","blue","stability-security","team","moderate","LOW","AMBIGUOUS|CONTEXT_DEPENDENT|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I lose steam when things feel routine or predictable for too long."
"bfc68ed4-c42e-4783-9535-a36af5da531e","likert","red","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","I value honesty more than keeping the peace."
"c117eb5e-feba-43db-9d9d-8da220cce761","likert","yellow","conflict","conflict","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I tend to slow down decisions if I sense tension or discomfort between people."
"c4485883-d8d7-44e9-996e-4f819726516e","likert","red","social-interaction","social","moderate","LOW","AMBIGUOUS|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I enjoy social situations more when there’s a goal, game, or outcome involved."
"c473564b-baf5-4e51-98da-7218465fd67f","likert","yellow","social-interaction","personal-preference","mild","HIGH","CLEAR","I’m uncomfortable when people are treated unfairly or excluded."
"c5bddcff-8d89-4c7f-877e-bc23951ff80a","likert","red","social-interaction","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I lose respect when people avoid accountability."
"c5e34cf0-bcbe-4a13-b7ec-b93ba6559df8","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","I prefer a boss who…"
"c5f3b06e-2858-45a8-81cd-68560c8a00cd","likert","green","risk-change","unfamiliar-situation","moderate","HIGH","CLEAR","I prefer stability over taking chances when outcomes are uncertain."
"c63eb5c7-fdc8-4cc3-8425-84d462975496","single","","general-behavioral-preference","pressure","moderate","HIGH","CLEAR","With deadlines, I…"
"c647a4f5-8b50-466f-9a65-c6a8f2d0fda2","likert","green","risk-change","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I’d rather avoid risk than deal with potential complications later."
"c8a8ef6c-5e93-4671-bebb-f2bfb90ae7d8","likert","yellow","cooperation-support","personal-preference","moderate","HIGH","SEMANTICALLY_OVERLAPPING","I’m willing to compromise on speed if it helps maintain trust."
"d05bda80-6edc-400c-bdb4-f8052938fa79","single","","pace-action","personal-preference","moderate","HIGH","CLEAR","What drains me fastest?"
"d60128b7-cef9-42f3-8841-3b4d024cb71b","single","","detail-accuracy","personal-preference","moderate","HIGH","CLEAR","If I make a mistake, I…"
"dacfb979-0cbf-4f3e-8d33-310a9648dc0b","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","With money/resources, I…"
"db2ae24e-58c6-4e26-8d43-0fd177f8fec3","single","","competition-achievement","work-business","moderate","HIGH","CLEAR","When setting goals, I…"
"e00be20f-9d46-4250-b263-9644b5270e1a","likert","green","cooperation-support","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I take relationships seriously and don’t invest in them lightly."
"e0bbdf96-ca93-4f07-a4a1-199cd25ae427","likert","blue","general-behavioral-preference","work-business","moderate","HIGH","CLEAR","I work best when I have freedom to adjust my approach as I go."
"e24c1a59-d6f6-4cde-9293-06a8f0740b99","likert","blue","competition-achievement","personal-preference","moderate","HIGH","CLEAR","I’m motivated when success allows me more freedom and enjoyment."
"e3b026d5-8dc5-4670-8773-cd89bfa7c58c","likert","red","planning-organization","planning","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I use plans as tools, but I’m fine changing them if something better comes up."
"e6164f25-f8ce-4038-8a32-b001f5fecb48","single","","emotional-expression","personal-preference","moderate","HIGH","CLEAR","I feel most recognized when…"
"e87cd6d6-d8dd-4270-b919-72042faab17f","likert","green","decision-making","planning","moderate","HIGH","SEMANTICALLY_OVERLAPPING","I’m more confident moving forward when there’s a clear plan instead of improvising."
"e8d51a74-edc5-4f06-9329-3e9b289f94b6","likert","green","cooperation-support","personal-preference","moderate","LOW","DOUBLE_BARRELED|COLOR_ASSIGNMENT_QUESTIONABLE","I prefer relationships that are steady and predictable rather than intense and emotional."
"e9de4944-2359-4540-99e6-d480706d0ef7","likert","green","general-behavioral-preference","personal-preference","moderate","HIGH","SEMANTICALLY_OVERLAPPING","I get uneasy when expectations aren’t clearly defined."
"eae82ae1-ca73-4c00-b328-7c846c5fbc26","single","","general-behavioral-preference","personal-preference","moderate","HIGH","AMBIGUOUS","When something breaks, I…"
"ec7581d0-c886-4fb0-a80e-286b664385ae","likert","blue","risk-change","work-business","moderate","HIGH","CLEAR","I enjoy working in ways that allow for spontaneity and creativity."
"edc39e05-a151-4cbc-8d29-60ffeec35c2d","likert","blue","general-behavioral-preference","personal-preference","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I’m more likely to say yes to something new than stick with what’s familiar."
"eed5b69d-d389-4e2c-9b28-bc8d9da662a4","single","","pace-action","personal-preference","moderate","HIGH","CLEAR","When I get feedback, my first reaction is…"
"f1aac210-24f8-4066-85c4-c2711536e596","likert","red","risk-change","personal-preference","moderate","HIGH","CLEAR","I’m willing to take risks if there’s a strong potential upside."
"f2019a64-d80f-40c7-9bf3-1c85cdc94afb","likert","blue","pace-action","personal-preference","moderate","HIGH","CLEAR","I bond quickly with people who are warm and expressive."
"f2f7dddd-ce94-41e5-b0ba-385e1dad769d","likert","yellow","social-interaction","personal-preference","moderate","HIGH","CLEAR","I’m loyal to people even when it would be easier to walk away."
"f48cde21-44cb-488a-a40d-b203d49060f5","likert","yellow","risk-change","unfamiliar-situation","moderate","HIGH","CLEAR","I’m cautious about change when it feels disruptive or unsettling."
"f5025dca-a545-4b59-9d59-b0ef9f5a8a6a","likert","green","social-interaction","personal-preference","moderate","HIGH","CLEAR","I need downtime alone to recharge after being around people."
"f57711a6-f43a-4512-b0a6-e4777e614b26","likert","yellow","planning-organization","pressure","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I try to stay organized so I don’t create stress for other people."
"f6d67e8f-9521-42e7-9f20-2322e033e33b","single","","conflict","conflict","strong","HIGH","CLEAR","When two people disagree, I’m most likely to…"
