category,color,prompt,qtype,is_active
"Values","loyalty & relationships","green.,likert,True","likert",true
"Values","loyalty & relationships","red.,likert,True","likert",true
"Values","loyalty & relationships","blue.,likert,True","likert",true
"Values","loyalty & relationships","yellow.,likert,True","likert",true
"Values","loyalty & relationships","green.,likert,True","likert",true
"Values","loyalty & relationships","yellow.,likert,True","likert",true
"Values","loyalty & relationships","red.,likert,True","likert",true
"Values","loyalty & relationships","green.,likert,True","likert",true
"Values","loyalty & relationships","blue.,likert,True","likert",true
"Values","loyalty & relationships","yellow.,likert,True","likert",true
"Values","loyalty & relationships","green.,likert,True","likert",true
"Values","loyalty & relationships","red.,likert,True","likert",true
"Values","loyalty & relationships","blue.,likert,True","likert",true
"Values","loyalty & relationships","yellow.,likert,True","likert",true
"Values","loyalty & relationships","green.,likert,True","likert",true
"Structure","planning & organization","green.,likert,True","likert",true
"Structure","planning & organization","blue.,likert,True","likert",true
"Structure","planning & organization","yellow.,likert,True","likert",true
"Structure","planning & organization","red.,likert,True","likert",true
"Structure","planning & organization","green.,likert,True","likert",true
"Structure","planning & organization","blue.,likert,True","likert",true
"Structure","planning & organization","yellow.,likert,True","likert",true
"Structure","planning & organization","red.,likert,True","likert",true
"Structure","planning & organization","green.,likert,True","likert",true
"Structure","planning & organization","blue.,likert,True","likert",true
"Structure","planning & organization","green.,likert,True","likert",true
"Structure","planning & organization","red.,likert,True","likert",true
"Structure","planning & organization","blue.,likert,True","likert",true
"Structure","planning & organization","yellow.,likert,True","likert",true
"Structure","planning & organization","green.,likert,True","likert",true
"Structure","planning & organization","blue.,likert,True","likert",true
"Structure","planning & organization","yellow.,likert,True","likert",true
"Structure","planning & organization","red.,likert,True","likert",true
"Structure","planning & organization","green.,likert,True","likert",true
"Structure","planning & organization","blue.,likert,True","likert",true
"Risk","change & comfort zones","blue.,likert,True","likert",true
"Risk","change & comfort zones","green.,likert,True","likert",true
"Risk","change & comfort zones","red.,likert,True","likert",true
"Risk","change & comfort zones","yellow.,likert,True","likert",true
"Risk","change & comfort zones","blue.,likert,True","likert",true
"Risk","change & comfort zones","green.,likert,True","likert",true
"Risk","change & comfort zones","red.,likert,True","likert",true
"Risk","change & comfort zones","yellow.,likert,True","likert",true
"Risk","change & comfort zones","blue.,likert,True","likert",true
"Risk","change & comfort zones","green.,likert,True","likert",true
"Risk","change & comfort zones","red.,likert,True","likert",true
"Risk","change & comfort zones","green.,likert,True","likert",true
"Risk","change & comfort zones","blue.,likert,True","likert",true
"Risk","change & comfort zones","yellow.,likert,True","likert",true
"Risk","change & comfort zones","red.,likert,True","likert",true
"Risk","change & comfort zones","green.,likert,True","likert",true
"Risk","change & comfort zones","blue.,likert,True","likert",true
"Risk","change & comfort zones","yellow.,likert,True","likert",true
"Risk","change & comfort zones","red.,likert,True","likert",true
"Risk","change & comfort zones","green.,likert,True","likert",true
"Focus","follow-through & consistency","green.,likert,True","likert",true
"Focus","follow-through & consistency","blue.,likert,True","likert",true
"Focus","follow-through & consistency","red.,likert,True","likert",true
"Focus","follow-through & consistency","yellow.,likert,True","likert",true
"Focus","follow-through & consistency","green.,likert,True","likert",true
"Focus","follow-through & consistency","blue.,likert,True","likert",true
"Focus","follow-through & consistency","red.,likert,True","likert",true
"Focus","follow-through & consistency","yellow.,likert,True","likert",true
"Focus","follow-through & consistency","green.,likert,True","likert",true
"Focus","follow-through & consistency","blue.,likert,True","likert",true
"Money","success & rewards","red.,likert,True","likert",true
"Money","success & rewards","yellow.,likert,True","likert",true
"Money","success & rewards","green.,likert,True","likert",true
"Money","success & rewards","blue.,likert,True","likert",true
"Money","success & rewards","red.,likert,True","likert",true
"Money","success & rewards","yellow.,likert,True","likert",true
"Money","success & rewards","green.,likert,True","likert",true
"Money","success & rewards","blue.,likert,True","likert",true
"Money","success & rewards","red.,likert,True","likert",true
"Money","success & rewards","yellow.,likert,True","likert",true
